date                ,no ,x and y    ,xend and yend ,kosong ,car id ,jam dibuat ,jam isi  ,jam kosong
22:26:45 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:45
22:26:46 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:46,
22:26:46 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:46
22:26:46 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:46
22:26:46 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:46,
22:26:46 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:46
22:26:46 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:46
22:26:46 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:46,
22:26:46 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:46
22:26:46 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:46
22:26:46 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:46,
22:26:46 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:46
22:26:46 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:46
22:26:46 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,2,22:26:40,22:26:47,
22:26:46 Sun-21-Jul,2,"(69, 191)","(150, 277)",Tidak,3,22:26:43,22:26:47,
22:26:46 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:47
22:26:47 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,2,22:26:40,22:26:48,
22:26:47 Sun-21-Jul,2,"(69, 191)","(150, 277)",Tidak,3,22:26:43,22:26:48,
22:26:47 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:48
22:26:48 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,3,22:26:40,22:26:48,
22:26:48 Sun-21-Jul,2,"(69, 191)","(150, 277)",Tidak,3,22:26:43,22:26:48,
22:26:48 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:48
22:26:48 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,3,22:26:40,22:26:48,
22:26:48 Sun-21-Jul,2,"(69, 191)","(150, 277)",Tidak,3,22:26:43,22:26:48,
22:26:48 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:48
22:26:48 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,3,22:26:40,22:26:48,
22:26:48 Sun-21-Jul,2,"(69, 191)","(150, 277)",Tidak,3,22:26:43,22:26:48,
22:26:48 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:48
22:26:48 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,3,22:26:40,22:26:48,
22:26:48 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:48
22:26:48 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:48
22:26:48 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,2,22:26:40,22:26:48,
22:26:48 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:48
22:26:48 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:48
22:26:49 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,2,22:26:40,22:26:49,
22:26:49 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:49
22:26:49 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:49
22:26:49 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,3,22:26:40,22:26:49,
22:26:49 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:49
22:26:49 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:49
22:26:49 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,3,22:26:40,22:26:49,
22:26:49 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:49
