date                ,no ,x and y      ,xend and yend
22:26:48 Sun-21-Jul,1,"(0, 205)","(171, 190)"
22:26:48 Sun-21-Jul,2,"(-3, 150)","(142, 135)"
22:26:48 Sun-21-Jul,3,"(252, 237)","(480, 222)"
22:26:49 Sun-21-Jul,1,"(-5, 151)","(141, 136)"
22:26:49 Sun-21-Jul,2,"(2, 198)","(193, 183)"
22:26:49 Sun-21-Jul,3,"(253, 237)","(481, 222)"
22:26:49 Sun-21-Jul,1,"(1, 194)","(202, 179)"
22:26:49 Sun-21-Jul,2,"(253, 237)","(480, 222)"
22:26:49 Sun-21-Jul,3,"(-6, 151)","(146, 136)"
22:26:49 Sun-21-Jul,1,"(0, 197)","(220, 182)"
22:26:49 Sun-21-Jul,2,"(253, 238)","(481, 223)"
22:26:49 Sun-21-Jul,3,"(0, 150)","(152, 135)"
22:26:49 Sun-21-Jul,1,"(0, 197)","(220, 182)"
22:26:49 Sun-21-Jul,2,"(253, 238)","(481, 223)"
22:26:49 Sun-21-Jul,3,"(0, 150)","(152, 135)"
22:27:38 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:38 Sun-21-Jul,2,"(253, 237)","(480, 222)"
22:27:41 Sun-21-Jul,1,"(4, 152)","(143, 137)"
22:27:41 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:27:41 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:27:41 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:27:41 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:27:41 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:27:41 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:41 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:27:41 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:41 Sun-21-Jul,2,"(251, 237)","(480, 222)"
22:27:42 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:27:42 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:27:42 Sun-21-Jul,1,"(4, 153)","(143, 138)"
22:27:42 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:27:42 Sun-21-Jul,1,"(4, 152)","(143, 137)"
22:27:42 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:27:42 Sun-21-Jul,1,"(4, 153)","(143, 138)"
22:27:42 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:27:43 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:43 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:27:43 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:43 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:27:43 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:27:43 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:27:43 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:43 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:27:44 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:44 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:27:44 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:44 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:27:44 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:44 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:27:44 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:44 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:27:44 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:44 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:27:45 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:45 Sun-21-Jul,2,"(251, 237)","(480, 222)"
22:27:45 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:45 Sun-21-Jul,2,"(251, 237)","(481, 222)"
22:27:45 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:45 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:27:45 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:45 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:27:46 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:46 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:27:46 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:46 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:27:46 Sun-21-Jul,1,"(5, 153)","(144, 138)"
22:27:46 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:27:46 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:46 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:27:47 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:47 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:27:47 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:27:47 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:27:47 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:27:47 Sun-21-Jul,2,"(252, 237)","(480, 222)"
22:27:47 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:27:47 Sun-21-Jul,2,"(252, 236)","(480, 221)"
22:27:48 Sun-21-Jul,1,"(4, 152)","(144, 137)"
22:27:48 Sun-21-Jul,2,"(252, 236)","(480, 221)"
22:27:48 Sun-21-Jul,1,"(4, 153)","(144, 138)"
22:27:48 Sun-21-Jul,2,"(252, 236)","(480, 221)"
22:27:48 Sun-21-Jul,1,"(4, 153)","(143, 138)"
22:27:48 Sun-21-Jul,2,"(251, 237)","(480, 222)"
22:27:48 Sun-21-Jul,1,"(5, 153)","(144, 138)"
22:27:48 Sun-21-Jul,2,"(251, 236)","(480, 221)"
22:27:48 Sun-21-Jul,1,"(0, 153)","(145, 138)"
22:27:48 Sun-21-Jul,2,"(251, 237)","(481, 222)"
22:27:48 Sun-21-Jul,3,"(0, 210)","(66, 195)"
22:27:49 Sun-21-Jul,1,"(251, 237)","(481, 222)"
22:27:49 Sun-21-Jul,2,"(0, 153)","(145, 138)"
22:27:49 Sun-21-Jul,3,"(2, 230)","(77, 215)"
22:27:49 Sun-21-Jul,1,"(251, 237)","(481, 222)"
22:27:49 Sun-21-Jul,2,"(0, 153)","(145, 138)"
22:27:49 Sun-21-Jul,3,"(0, 231)","(93, 216)"
22:27:49 Sun-21-Jul,1,"(251, 237)","(480, 222)"
22:27:49 Sun-21-Jul,2,"(0, 152)","(144, 137)"
22:27:49 Sun-21-Jul,3,"(0, 216)","(113, 201)"
22:27:49 Sun-21-Jul,1,"(251, 237)","(480, 222)"
22:27:49 Sun-21-Jul,2,"(-2, 151)","(145, 136)"
22:27:49 Sun-21-Jul,3,"(1, 211)","(133, 196)"
22:27:49 Sun-21-Jul,1,"(251, 237)","(480, 222)"
22:27:49 Sun-21-Jul,2,"(-1, 149)","(143, 134)"
22:27:49 Sun-21-Jul,3,"(0, 208)","(145, 193)"
22:27:50 Sun-21-Jul,1,"(252, 237)","(480, 222)"
22:27:50 Sun-21-Jul,2,"(4, 210)","(163, 195)"
22:27:50 Sun-21-Jul,3,"(-2, 149)","(143, 134)"
22:27:50 Sun-21-Jul,1,"(0, 205)","(171, 190)"
22:27:50 Sun-21-Jul,2,"(-3, 150)","(142, 135)"
22:27:50 Sun-21-Jul,3,"(252, 237)","(480, 222)"
22:27:50 Sun-21-Jul,1,"(-5, 151)","(141, 136)"
22:27:50 Sun-21-Jul,2,"(2, 198)","(193, 183)"
22:27:50 Sun-21-Jul,3,"(253, 237)","(481, 222)"
22:27:50 Sun-21-Jul,1,"(1, 194)","(202, 179)"
22:27:50 Sun-21-Jul,2,"(253, 237)","(480, 222)"
22:27:50 Sun-21-Jul,3,"(-6, 151)","(146, 136)"
22:27:50 Sun-21-Jul,1,"(0, 197)","(220, 182)"
22:27:50 Sun-21-Jul,2,"(253, 238)","(481, 223)"
